,Title,Published_Date,Views,Likes,Comments,Month
0,500k Livestream!!,2023-06-28,5623,370,20,Jun
1,BeautifulSoup + Requests | Web Scraping in Python,2023-06-27,4842,207,15,Jun
2,Inspecting Web Pages with HTML | Web Scraping in Python,2023-06-20,6047,280,23,Jun
3,Best Places to Find Datasets for Your Projects,2023-06-13,21478,1067,47,Jun
4,Exploratory Data Analysis in Pandas | Python Pandas Tutorials,2023-06-06,15526,505,41,Jun
5,Data Analyst Q/A Livestream | May Livestream | Ask Me Anything!,2023-05-30,9394,350,22,May
6,What is Microsoft Fabric? | New Data Analytics Platform!,2023-05-29,99280,2835,108,May
7,Data Cleaning in Pandas | Python Pandas Tutorials,2023-05-23,19543,688,52,May
8,The Ultimate Data Analytics Career Plan for 2023 | CareerFoundry Webinar,2023-05-16,30525,1131,37,May
9,State of AI in Analytics | Will AI be the End of Data Analysts?,2023-05-15,35583,1113,343,May
10,Google Bard Got An Upgrade! + Google's New AI Announcements!,2023-05-12,31829,783,84,May
11,Creating Visualizations using Pandas Library | Python Pandas Tutorials,2023-05-09,13499,311,12,May
12,Merging DataFrames in Pandas | Python Pandas Tutorials,2023-05-02,9927,290,16,May
13,Data Analyst Q/A Livestream | April Livestream | Ask Me Anything!,2023-04-27,9322,329,26,Apr
14,How to Integrate ChatGPT in Jupyter Notebooks for Free!,2023-04-25,25745,774,40,Apr
15,7 Ways to Use ChatGPT for Analytics | Webinar,2023-04-18,33091,973,33,Apr
16,Google Business Intelligence Professional Certification Review,2023-04-18,24889,783,59,Apr
17,Google Advanced Data Analytics Professional Certificate First Look | Is it Worth it?,2023-04-10,108877,3235,337,Apr
18,Group By and Aggregate Functions in Pandas | Python Pandas Tutorials,2023-04-04,9313,289,16,Apr
19,Top 5 Biggest Mistakes Beginner Data Analysts Make,2023-03-28,33236,1574,85,Mar
20,Indexes in Pandas | Python Pandas Tutorials,2023-03-21,9476,267,19,Mar
21,Create the Perfect Data Analyst Resume | Free Templates!,2023-03-14,60693,2225,153,Mar
22,Filtering Columns and Rows in Pandas | Python Pandas Tutorials,2023-03-07,14141,395,33,Mar
23,Data Analyst Q/A Livestream | March Livestream | Ask Me Anything!,2023-03-02,10914,398,33,Mar
24,Reading in Files in Pandas | Python Pandas Tutorials,2023-02-28,19531,497,32,Feb
25,Building an Automated File Sorter in File Explorer using Python | Python Projects for Beginners,2023-02-21,17027,451,40,Feb
26,ChatGPT for Data Analysts | Best Use Cases + Analyzing a Dataset,2023-02-14,377914,7475,220,Feb
27,FREE Data Analyst Bootcamp!!,2023-02-07,375176,17616,997,Feb
28,How to Become a Data Analyst in 2023 (Completely FREE!),2023-01-31,491340,20105,660,Jan
29,Live Portfolio Review with Alex the Analyst!  | Live Webinar,2023-01-25,15283,578,23,Jan
30,DIY Data Analyst Curriculum using Udemy (Under $75),2023-01-24,26135,1059,104,Jan
31,Reviewing Maven Analytics Free Portfolio Website,2023-01-17,17867,589,42,Jan
32,5 Study Hacks for Beginner Data Analysts! | Live Webinar,2023-01-16,39171,1232,35,Jan
33,DIY Data Analyst Curriculum using Coursera in 2023,2023-01-10,48713,2511,222,Jan
34,Building a BMI Calculator with Python | Python Projects for Beginners,2023-01-03,22246,517,42,Jan
35,"Reading, Writing, and Appending Files in Python | Python for Beginners",2022-12-27,4856,181,10,Dec
36,Why I Quit my 125k Analytics Job,2022-12-20,140271,7971,841,Dec
37,Data Analyst Q/A Livestream + Special Guest! | December Livestream,2022-12-17,4952,165,16,Dec
38,Converting Data Types in Python | Python for Beginners,2022-12-13,11302,371,22,Dec
